track_name,artist_name,ms_played,minutes_played
Who Am I,Vance Joy,159600,2.66
Dive,Ed Sheeran,238440,3.97
From Eden,Hozier,283466,4.72
Waiting On the World to Change,John Mayer,201173,3.35
Army of Angels,The Script,238200,3.97
"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,340626,5.68
Catch & Release - Deepend Remix,Matt Simons,195173,3.25
Hannah Hunt,Vampire Weekend,237973,3.97
Revelry,Kings of Leon,201733,3.36
Everybody Leaves in the End,The Temper Trap,233666,3.89
Angel Of Small Death & The Codeine Scene,Hozier,219214,3.65
Can’t Stop,OneRepublic,249573,4.16
I'm Gonna Wait,The Temper Trap,255253,4.25
All I Need,AWOLNATION,217693,3.63
Obvious Bicycle,Vampire Weekend,251253,4.19
Haunt - Demo,Bastille,172706,2.88
We Used To Wait,Arcade Fire,301400,5.02
Leaving Heartbreak Hotel,The Temper Trap,268600,4.48
Demons,Imagine Dragons,177506,2.96
Closer - Presets Remix,Kings of Leon,291253,4.85
The Way It's Always Been,Brandon Flowers,236653,3.94
Magic,Coldplay,285014,4.75
The Kids Don't Stand A Chance,Vampire Weekend,243000,4.05
Hypnotised,Coldplay,355172,5.92
Madness,Muse,281040,4.68
Best Day Of My Life,American Authors,194240,3.24
Underdog,Imagine Dragons,209440,3.49
Diane Young,Vampire Weekend,160066,2.67
Rebellion (Lies),Arcade Fire,310893,5.18
Worship You,Vampire Weekend,201240,3.35
The Fall,Imagine Dragons,362480,6.04
Pompeii,Bastille,214147,3.57
Working Man,Imagine Dragons,235093,3.92
The Times They Are A-Changin',Bob Dylan,192053,3.20
Simple Twist of Fate,Bob Dylan,256800,4.28
Simple Twist of Fate,Bob Dylan,256800,4.28
A Hard Rain's A-Gonna Fall,Bob Dylan,412200,6.87
Highway 61 Revisited,Bob Dylan,205826,3.43
Mr. Tambourine Man,Bob Dylan,180315,3.01
Sympathy For The Devil,Keith Richards,272715,4.55
Welcome To Fabulous Las Vegas,Brandon Flowers,235818,3.93
Piledriver Waltz,Arctic Monkeys,203880,3.40
With God on Our Side,Bob Dylan,269259,4.49
Hard To Explain,The Strokes,223979,3.73
The River,The Mud Howlers,177933,2.97
Rock & Roll - Full Length Version; 2015 Remaster,The Velvet Underground,283000,4.72
"Alone, Together",The Strokes,188313,3.14
Love Illumination,Franz Ferdinand,222333,3.71
Waste A Moment,Kings of Leon,183093,3.05
Change Your Mind,The Killers,191053,3.18
From The Ritz To The Rubble,Arctic Monkeys,185697,3.09
I Am The Walrus - Remastered 2009,The Beatles,275866,4.60
Young Volcanoes,Fall Out Boy,204506,3.41
White Blank Page,Mumford & Sons,254186,4.24
Snow (Hey Oh),Red Hot Chili Peppers,335066,5.58
We Didn't Start the Fire,Billy Joel,278162,4.64
Them Eyes,The Black Keys,143053,2.38
All Along the Watchtower,Jimi Hendrix,240800,4.01
"25 Minutes to Go - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,204992,3.42
Magdalena,Brandon Flowers,199053,3.32
Spaceman,The Killers,284546,4.74
Sam's Town - Live From Abbey Road / 2006,The Killers,223720,3.73
Tranquilize,The Killers,225160,3.75
Losing Touch,The Killers,253653,4.23
On Top,The Killers,258933,4.32
Bones,The Killers,227000,3.78
Bling (Confession Of A King),The Killers,248466,4.14
Sam's Town,The Killers,246026,4.10
For Reasons Unknown,The Killers,212266,3.54
Heart Of A Girl,The Killers,274266,4.57
Let It Be - Remastered 2009,The Beatles,220959,3.68
Glamorous Indie Rock And Roll,The Killers,254546,4.24
Runaways,The Killers,243786,4.06
Spaceman,The Killers,281457,4.69
Peace Of Mind,The Killers,283013,4.72
Human,The Killers,245360,4.09
The World We Live In,The Killers,265313,4.42
Sympathy For The Devil,Keith Richards,377760,6.30
Midnight Rambler,The Rolling Stones,285412,4.76
Happy,The Rolling Stones,184626,3.08
Dear Doctor,Keith Richards,201600,3.36
Country Honk,The Rolling Stones,187431,3.12
Tumbling Dice,The Rolling Stones,226333,3.77
Factory Girl,Keith Richards,128226,2.14
Parachute Woman,Keith Richards,139933,2.33
Jigsaw Puzzle,Keith Richards,365426,6.09
Turd On The Run,The Rolling Stones,157173,2.62
Beast Of Burden,The Rolling Stones,264893,4.41
Shine A Light,The Rolling Stones,256826,4.28
Prodigal Son,Wilkins,170573,2.84
You Gotta Move - 2009 Mix,The Rolling Stones,152106,2.54
Let It Bleed,The Rolling Stones,327866,5.46
Bitch - 2009 Mix,The Rolling Stones,217093,3.62
Shake Your Hips,The Rolling Stones,179000,2.98
Paint It Black - Stereo Version,The Rolling Stones,202293,3.37
Angie - Remastered,The Rolling Stones,273133,4.55
Gimme Shelter,The Rolling Stones,270760,4.51
Rocks Off,The Rolling Stones,271933,4.53
Rip This Joint,The Rolling Stones,143293,2.39
Loving Cup,The Rolling Stones,264266,4.40
Casino Boogie,The Rolling Stones,214466,3.57
Street Fighting Man,Keith Richards,194773,3.25
It's Only Rock'n'Roll (But I Like It) - Remastered 2009,The Rolling Stones,307440,5.12
Salt Of The Earth,Keith Richards,287466,4.79
Stop Breaking Down,The Rolling Stones,274773,4.58
Let It Loose,The Rolling Stones,317173,5.29
Brown Sugar - Remastered 2009,The Rolling Stones,228666,3.81
Sweet Black Angel,The Rolling Stones,177666,2.96
Live With Me,The Rolling Stones,213133,3.55
Can't You Hear Me Knocking - 2009 Mix,The Rolling Stones,436000,7.27
No Expectations,Keith Richards,235933,3.93
I Got The Blues - 2009 Mix,The Rolling Stones,233693,3.89
How? - Remastered 2010,John Lennon,226280,3.77
Sitting,Yusuf / Cat Stevens,193573,3.23
It's So Hard - Remastered 2010,John Lennon,149080,2.48
Elephant,Tame Impala,211226,3.52
Stand By Me - Remastered 2010,John Lennon,211666,3.53
If I Needed Someone - Remastered 2009,The Beatles,142266,2.37
Dazed and Confused - Remaster,Led Zeppelin,388667,6.48
Don't Look Now,Creedence Clearwater Revival,131053,2.18
As She's Walking Away (feat. Alan Jackson),Zac Brown Band,223826,3.73
Sweet Home Alabama,Lynyrd Skynyrd,283800,4.73
Bleeding Out,Imagine Dragons,223160,3.72
In the Flesh?,Pink Floyd,198221,3.30
The Thin Ice,Pink Floyd,146321,2.44
"Another Brick in the Wall, Pt. 1",Pink Floyd,192145,3.20
"Another Brick in the Wall, Pt. 2",Pink Floyd,238746,3.98
Mother,Pink Floyd,334893,5.58
Goodbye Blue Sky,Pink Floyd,167239,2.79
Empty Spaces,Pink Floyd,127830,2.13
Young Lust,Pink Floyd,209956,3.50
One of My Turns,Pink Floyd,216800,3.61
Don't Leave Me Now,Pink Floyd,255934,4.27
Hey You,Pink Floyd,278440,4.64
Hey You,Pink Floyd,278440,4.64
Is There Anybody Out There?,Pink Floyd,161595,2.69
Nobody Home,Pink Floyd,203360,3.39
Comfortably Numb,Pink Floyd,382296,6.37
In the Flesh,Pink Floyd,204651,3.41
Run Like Hell,Pink Floyd,263573,4.39
Waiting for the Worms,Pink Floyd,277170,4.62
The Trial,Pink Floyd,228637,3.81
Breathe (In the Air),Pink Floyd,169534,2.83
On the Run,Pink Floyd,225384,3.76
Time,Pink Floyd,525617,8.76
The Great Gig in the Sky,Pink Floyd,283872,4.73
Money,Pink Floyd,382834,6.38
Us and Them,Pink Floyd,469224,7.82
Any Colour You Like,Pink Floyd,206429,3.44
Brain Damage,Pink Floyd,226666,3.78
Brain Damage,Pink Floyd,226666,3.78
Paranoid Android,Radiohead,387213,6.45
Subterranean Homesick Alien,Radiohead,240003,4.00
Exit Music (For a Film),Radiohead,230901,3.85
Let Down,Radiohead,299560,4.99
Karma Police,Radiohead,264066,4.40
Electioneering,Radiohead,230626,3.84
Electioneering,Radiohead,230626,3.84
Julia - Remastered 2009,The Beatles,176666,2.94
Pocket Full Of Gold,American Authors,180213,3.00
Thunderstruck,AC/DC,292880,4.88
RIVA (Restart the Game) - Radio Edit,Klingande,180861,3.01
Sweet Hitch-Hiker,Creedence Clearwater Revival,177266,2.95
Carried Away,Passion Pit,221973,3.70
We Will Rock You,Queen,122093,2.03
Kill Your Heroes,AWOLNATION,178841,2.98
Crooked Smile (feat. TLC),J. Cole,278573,4.64
Pecan Tree,The Mud Howlers,193853,3.23
Craving,James Bay,228120,3.80
And I Love Her - Remastered 2009,The Beatles,149693,2.49
Modern Man,Arcade Fire,279760,4.66
Mystery Train - Remastered,Elvis Presley,147560,2.46
"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",John Mayer,625173,10.42
Heartbreak Warfare,John Mayer,269720,4.50
Half of My Heart,John Mayer,250373,4.17
Who Says,John Mayer,175480,2.92
Who Says,John Mayer,175480,2.92
Perfectly Lonely,John Mayer,268093,4.47
Crossroads,John Mayer,149386,2.49
War of My Life,John Mayer,255120,4.25
Queen of California,John Mayer,250133,4.17
The Age of Worry,John Mayer,157586,2.63
Shadow Days,John Mayer,228173,3.80
Speak For Me,John Mayer,224680,3.74
Something Like Olivia,John Mayer,180626,3.01
Born and Raised,John Mayer,287640,4.79
If I Ever Get Around To Living,John Mayer,321720,5.36
Love Is A Verb,John Mayer,144400,2.41
"Walt Grace's Submarine Test, January 1967",John Mayer,307986,5.13
"Whiskey, Whiskey, Whiskey",John Mayer,278666,4.64
A Face To Call Home,John Mayer,285306,4.76
Born and Raised - Reprise,John Mayer,120706,2.01
Waiting On the World to Change,John Mayer,201173,3.35
I Don't Trust Myself (With Loving You),John Mayer,292013,4.87
Belief,John Mayer,242333,4.04
Gravity,John Mayer,245826,4.10
The Heart of Life,John Mayer,198200,3.30
Vultures,John Mayer,250840,4.18
Stop This Train,John Mayer,285053,4.75
Slow Dancing in a Burning Room,John Mayer,242000,4.03
Stop This Train,John Mayer,285053,4.75
Bold as Love,John Mayer,258160,4.30
Dreaming with a Broken Heart,John Mayer,245746,4.10
Dreaming with a Broken Heart,John Mayer,245746,4.10
In Repair,John Mayer,367813,6.13
I'm Gonna Find Another You,John Mayer,163026,2.72
Say,John Mayer,230213,3.84
Daughters,John Mayer,237906,3.97
Wildfire,John Mayer,253493,4.22
Dear Marie,John Mayer,222720,3.71
Waitin' On The Day,John Mayer,273066,4.55
Paper Doll,John Mayer,257386,4.29
Call Me The Breeze,John Mayer,205360,3.42
Who You Love (feat. Katy Perry),John Mayer,249933,4.17
I Will Be Found (Lost At Sea),John Mayer,241346,4.02
You're No One 'Til Someone Lets You Down,John Mayer,165000,2.75
Badge And Gun,John Mayer,192306,3.21
On The Way Home,John Mayer,239546,3.99
Why Georgia,John Mayer,268973,4.48
Your Body Is a Wonderland,John Mayer,249626,4.16
Your Body Is a Wonderland,John Mayer,249626,4.16
Why Georgia,John Mayer,268973,4.48
Still Feel Like Your Man,John Mayer,234920,3.92
Emoji of a Wave,John Mayer,239666,3.99
Helpless,John Mayer,249120,4.15
Love on the Weekend,John Mayer,212320,3.54
In the Blood,John Mayer,243666,4.06
Changing,John Mayer,213080,3.55
Moving On and Getting Over,John Mayer,265360,4.42
Never on the Day You Leave,John Mayer,220866,3.68
Rosie,John Mayer,240626,4.01
Roll it on Home,John Mayer,202813,3.38
You're Gonna Live Forever in Me,John Mayer,190013,3.17
You're Gonna Live Forever in Me,John Mayer,190013,3.17
Helpless,John Mayer,249120,4.15
Emoji of a Wave,John Mayer,239666,3.99
Changing,John Mayer,213080,3.55
In the Blood,John Mayer,243666,4.06
Rosie,John Mayer,132282,2.20
Never on the Day You Leave,John Mayer,212666,3.54
In the Blood,John Mayer,335004,5.58
Emoji of a Wave,John Mayer,239666,3.99
Changing,John Mayer,213080,3.55
Roll it on Home,John Mayer,202813,3.38
Rosie,John Mayer,240626,4.01
Still Feel Like Your Man,John Mayer,234920,3.92
You're Gonna Live Forever in Me,John Mayer,190013,3.17
Never on the Day You Leave,John Mayer,220866,3.68
Moving On and Getting Over,John Mayer,265360,4.42
Love on the Weekend,John Mayer,212626,3.54
You're Beautiful,James Blunt,209493,3.49
I'm Yours,Jason Mraz,242186,4.04
Drops of Jupiter (Tell Me),Train,259933,4.33
Slow Dancing in a Burning Room,John Mayer,242000,4.03
Fresh Eyes,Andy Grammer,198001,3.30
In the Blood,John Mayer,160796,2.68
In the Blood,John Mayer,407691,6.79
In the Blood,John Mayer,243666,4.06
Emoji of a Wave,John Mayer,203139,3.39
Roll it on Home,John Mayer,154959,2.58
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,263573,4.39
In the Blood,John Mayer,243666,4.06
"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,340626,5.68
Emoji of a Wave,John Mayer,239666,3.99
You're Gonna Live Forever in Me,John Mayer,190013,3.17
In the Blood,John Mayer,243666,4.06
Never on the Day You Leave,John Mayer,220866,3.68
Roll it on Home,John Mayer,202813,3.38
Speak For Me,John Mayer,224680,3.74
"Whiskey, Whiskey, Whiskey",John Mayer,212207,3.54
The Age of Worry,John Mayer,157586,2.63
Born and Raised - Reprise,John Mayer,120706,2.01
Born and Raised,John Mayer,160631,2.68
Emoji of a Wave,John Mayer,239666,3.99
In the Blood,John Mayer,243666,4.06
Never on the Day You Leave,John Mayer,220866,3.68
Roll it on Home,John Mayer,202813,3.38
You're Gonna Live Forever in Me,John Mayer,190013,3.17
In the Blood,John Mayer,243666,4.06
The Age of Worry,John Mayer,157586,2.63
Speak For Me,John Mayer,224680,3.74
Half of My Heart,John Mayer,250373,4.17
"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",John Mayer,606504,10.11
Waiting On the World to Change,John Mayer,201173,3.35
Something Like Olivia,John Mayer,180626,3.01
Born and Raised - Reprise,John Mayer,120706,2.01
The Heart of Life,John Mayer,198200,3.30
Shadow Days,John Mayer,228173,3.80
Gravity,John Mayer,245826,4.10
"Walt Grace's Submarine Test, January 1967",John Mayer,307986,5.13
Queen of California,John Mayer,250133,4.17
Who Says,John Mayer,175480,2.92
Wildfire,John Mayer,253493,4.22
Why Georgia,John Mayer,268973,4.48
"Whiskey, Whiskey, Whiskey",John Mayer,278666,4.64
Paper Doll,John Mayer,257386,4.29
Born and Raised,John Mayer,287640,4.79
Badge And Gun,John Mayer,192306,3.21
Stop This Train,John Mayer,285053,4.75
Belief,John Mayer,242333,4.04
Perfectly Lonely,John Mayer,268093,4.47
Daughters,John Mayer,237906,3.97
Dear Marie,John Mayer,222720,3.71
Slow Dancing in a Burning Room,John Mayer,242000,4.03
On The Way Home,John Mayer,239546,3.99
Your Body Is a Wonderland,John Mayer,249626,4.16
"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,340626,5.68
Waitin' On The Day,John Mayer,273066,4.55
In Repair,John Mayer,367813,6.13
"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,345626,5.76
You're Gonna Live Forever in Me,John Mayer,190013,3.17
You're No One 'Til Someone Lets You Down,John Mayer,165000,2.75
I Will Be Found (Lost At Sea),John Mayer,241346,4.02
Never on the Day You Leave,John Mayer,220866,3.68
Love Is A Verb,John Mayer,144400,2.41
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,263573,4.39
Emoji of a Wave,John Mayer,239666,3.99
Roll it on Home,John Mayer,202813,3.38
I Can't Make Your Way,The Yardbirds,145373,2.42
A Day In The Life - Remastered 2009,The Beatles,337413,5.62
Rocks Off,The Rolling Stones,271933,4.53
Black Treacle,Arctic Monkeys,217440,3.62
Not Today,Imagine Dragons,261080,4.35
Gotta Get Away,The Black Keys,180173,3.00
Black or White - Single Version,Michael Jackson,178767,2.98
Black or White - Single Version,Michael Jackson,178767,2.98
Concerning Hobbits,Howard Shore,164426,2.74
Cinema Paradiso,Ennio Morricone,178466,2.97
I Dreamed a Dream,Les Misérables - 10th Anniversary Concert Cast,143461,2.39
I Dreamed a Dream,Les Misérables - International Cast,151206,2.52
Who Am I? – The Trial,Les Misérables - International Cast,191202,3.19
The Music Of The Night,Andrew Lloyd Webber,321483,5.36
All I Ask Of You,Andrew Lloyd Webber,221385,3.69
Overture,Andrew Lloyd Webber,185000,3.08
Think Of Me,Andrew Lloyd Webber,249066,4.15
Angel Of Music,Andrew Lloyd Webber,132311,2.21
Yesterday - Remastered 2009,The Beatles,125666,2.09
Glass Onion - Remastered 2009,The Beatles,137840,2.30
"Baby, You're A Rich Man - Remastered 2009",The Beatles,181306,3.02
Act Naturally - Remastered 2009,The Beatles,150373,2.51
Kansas City / Hey-Hey-Hey-Hey - Medley / Remastered 2009,The Beatles,158146,2.64
In the Blood,John Mayer,243666,4.06
Who Am I? – The Trial,Les Misérables - 10th Anniversary Concert Cast,166836,2.78
The Music Of The Night,Andrew Lloyd Webber,314949,5.25
Born and Raised - Reprise,John Mayer,120706,2.01
Your Body Is a Wonderland,John Mayer,249626,4.16
Si Nos Dejan,José Alfredo Jimenez,144666,2.41
Emoji of a Wave,John Mayer,239666,3.99
Wildfire,John Mayer,253493,4.22
"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",John Mayer,625173,10.42
Queen of California,John Mayer,250133,4.17
Sonaron Cuatro Balazos,Antonio Aguilar,175086,2.92
Who Says,John Mayer,175480,2.92
"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,345626,5.76
Paper Doll,John Mayer,257386,4.29
"Walt Grace's Submarine Test, January 1967",John Mayer,307986,5.13
México Lindo,Jorge Negrete,196613,3.28
En el Último Trago,José Alfredo Jimenez,136693,2.28
Stop This Train,John Mayer,285053,4.75
In Repair,John Mayer,367813,6.13
Que De Raro Tiene,Vicente Fernández,201933,3.37
"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,340626,5.68
The Age of Worry,John Mayer,157586,2.63
Un Puño De Tierra,Antonio Aguilar,188926,3.15
Juan Charrasqueado,Vicente Fernández,228546,3.81
You're No One 'Til Someone Lets You Down,John Mayer,165000,2.75
El Rey,José Alfredo Jimenez,129226,2.15
Serenata huasteca,José Alfredo Jimenez,179118,2.99
Something Like Olivia,John Mayer,180626,3.01
Belief,John Mayer,242333,4.04
Gravity,John Mayer,245826,4.10
Waiting On the World to Change,John Mayer,201173,3.35
Daughters,John Mayer,237906,3.97
I Will Be Found (Lost At Sea),John Mayer,241346,4.02
Lucille,B.B. King,281879,4.70
On The Way Home,John Mayer,239546,3.99
Por Tu Maldito Amor,Vicente Fernández,236480,3.94
The Heart of Life,John Mayer,198200,3.30
Born and Raised,John Mayer,287640,4.79
Master of the House,Les Misérables - 10th Anniversary Concert Cast,321160,5.35
In the Blood,John Mayer,243666,4.06
Speak For Me,John Mayer,224680,3.74
Paloma Querida,José Alfredo Jimenez,157976,2.63
You're Gonna Live Forever in Me,John Mayer,190013,3.17
Cause We've Ended as Lovers,Jeff Beck,342066,5.70
Dear Marie,John Mayer,222720,3.71
Un Mundo Raro,José Alfredo Jimenez,169026,2.82
Slow Dancing in a Burning Room,John Mayer,242000,4.03
El Hijo Desobediente,Antonio Aguilar,195117,3.25
One Day More!,Les Misérables - 10th Anniversary Concert Cast,256800,4.28
Badge And Gun,John Mayer,192306,3.21
Caballo Prieto Azabache,Antonio Aguilar,199041,3.32
Lucille,B.B. King,525614,8.76
All I Ask Of You,Andrew Lloyd Webber,254666,4.24
Why Georgia,John Mayer,268973,4.48
La Media Vuelta,José Alfredo Jimenez,154933,2.58
Me Equivoqué Contigo,José Alfredo Jimenez,183837,3.06
Perfectly Lonely,John Mayer,268093,4.47
Half of My Heart,John Mayer,250373,4.17
Te Solté la Rienda,José Alfredo Jimenez,158773,2.65
Stars,Les Misérables - 10th Anniversary Concert Cast,206466,3.44
De Puño y Letra,Antonio Aguilar,178822,2.98
Shadow Days,John Mayer,228173,3.80
Who Am I? – The Trial,Les Misérables - 10th Anniversary Concert Cast,191826,3.20
Roll it on Home,John Mayer,202813,3.38
Never on the Day You Leave,John Mayer,220866,3.68
"Whiskey, Whiskey, Whiskey",John Mayer,278666,4.64
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,263573,4.39
Tatuajes,Joan Sebastian,211371,3.52
Por Mujeres Como Tu,Pepe Aguilar,261131,4.35
Love Is A Verb,John Mayer,144400,2.41
Waitin' On The Day,John Mayer,273066,4.55
I Dreamed a Dream,Les Misérables - 10th Anniversary Concert Cast,278693,4.64
Drink With Me,Les Misérables - 10th Anniversary Concert Cast,271733,4.53
Epilogue (Finale),Les Misérables - 10th Anniversary Concert Cast,556666,9.28
One Day More!,Les Misérables - 10th Anniversary Concert Cast,226049,3.77
Once in a Lifetime,Sammy Davis Jr.,129138,2.15
The Bends,Radiohead,146727,2.45
Cinema Paradiso,Ennio Morricone,161648,2.69
Despacito - Remix,Luis Fonsi,137170,2.29
Lucille,B.B. King,616560,10.28
Little Wing,Stevie Ray Vaughan,408480,6.81
Lenny,Stevie Ray Vaughan,297373,4.96
Samba Pa Ti,Santana,284800,4.75
Maggot Brain,Funkadelic,621106,10.35
The Super-Natural,John Mayall & The Bluesbreakers,177733,2.96
Riviera Paradise,Stevie Ray Vaughan,530466,8.84
Marooned,Pink Floyd,330385,5.51
"Europa ""Earth's Cry Heaven's Smile""",Santana,302106,5.04
Cause We've Ended as Lovers,Jeff Beck,342066,5.70
Cause We've Ended as Lovers,Jeff Beck,342066,5.70
Cinema Paradiso,Ennio Morricone,178466,2.97
Leaving Hogwarts,John Williams,133573,2.23
Hedwig's Theme,John Williams,309093,5.15
Concerning Hobbits,Howard Shore,175040,2.92
Courtyard Apocalypse,Alexandre Desplat,120386,2.01
Obliviate,Alexandre Desplat,181693,3.03
"Dumbledore's Farewell (""Harry Potter & The Half-Blood Prince"")",Nicholas Hooper,142253,2.37
Main Title,James Horner,170040,2.83
The Uruk-hai,Howard Shore,178493,2.97
Samwise the Brave,Howard Shore,226000,3.77
The Ride of the Rohirrim,Howard Shore,128693,2.14
The Grey Havens (feat. Sir James Galway),Howard Shore,359426,5.99
The Grey Havens (feat. Sir James Galway),Howard Shore,359426,5.99
In the Blood,John Mayer,243666,4.06
The Age of Worry,John Mayer,157586,2.63
Dear Marie,John Mayer,222720,3.71
Born and Raised,John Mayer,287640,4.79
You're Gonna Live Forever in Me,John Mayer,190013,3.17
Born and Raised - Reprise,John Mayer,120706,2.01
Shadow Days,John Mayer,228173,3.80
Waiting On the World to Change,John Mayer,201173,3.35
Who Says,John Mayer,175480,2.92
Perfectly Lonely,John Mayer,268093,4.47
The Heart of Life,John Mayer,198200,3.30
Wildfire,John Mayer,253493,4.22
"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",John Mayer,625173,10.42
In Repair,John Mayer,367813,6.13
Queen of California,John Mayer,250133,4.17
Belief,John Mayer,242333,4.04
Waitin' On The Day,John Mayer,273066,4.55
"Whiskey, Whiskey, Whiskey",John Mayer,278666,4.64
Paper Doll,John Mayer,257386,4.29
"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,345626,5.76
Slow Dancing in a Burning Room,John Mayer,242000,4.03
I Will Be Found (Lost At Sea),John Mayer,148594,2.48
Never on the Day You Leave,John Mayer,214326,3.57
You're Gonna Live Forever in Me,John Mayer,190013,3.17
Emoji of a Wave,John Mayer,239666,3.99
Speak For Me,John Mayer,224680,3.74
Roll it on Home,John Mayer,202813,3.38
One Too Many Mornings,Bob Dylan,157524,2.63
Working Class Hero - Remastered 2010,John Lennon,227933,3.80
Otherside,Red Hot Chili Peppers,255373,4.26
All These Things That I've Done,The Killers,301573,5.03
All These Things That I've Done,The Killers,301573,5.03
Why Do I Keep Counting?,The Killers,264453,4.41
Show You How,The Killers,166240,2.77
Only The Young,Brandon Flowers,189891,3.16
Show You How,The Killers,166240,2.77
The Ballad Of Michael Valentine,The Killers,154997,2.58
Epilogue (Finale),Les Misérables - 10th Anniversary Concert Cast,549363,9.16
Gravity,John Mayer,245826,4.10
"Walt Grace's Submarine Test, January 1967",John Mayer,307986,5.13
The Age of Worry,John Mayer,157586,2.63
Perfectly Lonely,John Mayer,268093,4.47
Love Is A Verb,John Mayer,144400,2.41
In the Blood,John Mayer,243666,4.06
Something Like Olivia,John Mayer,180626,3.01
Stop This Train,John Mayer,285053,4.75
Who Says,John Mayer,175480,2.92
You're No One 'Til Someone Lets You Down,John Mayer,165000,2.75
Dear Marie,John Mayer,222720,3.71
Roll it on Home,John Mayer,202813,3.38
Shadow Days,John Mayer,228173,3.80
Badge And Gun,John Mayer,192306,3.21
Waitin' On The Day,John Mayer,273066,4.55
The Heart of Life,John Mayer,198200,3.30
On The Way Home,John Mayer,239546,3.99
Queen of California,John Mayer,250133,4.17
Emoji of a Wave,John Mayer,239666,3.99
"Whiskey, Whiskey, Whiskey",John Mayer,278666,4.64
Your Body Is a Wonderland,John Mayer,249626,4.16
Born and Raised - Reprise,John Mayer,120706,2.01
Born and Raised,John Mayer,287640,4.79
You're Gonna Live Forever in Me,John Mayer,190013,3.17
Why Georgia,John Mayer,268973,4.48
"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",John Mayer,625173,10.42
Never on the Day You Leave,John Mayer,220866,3.68
Belief,John Mayer,242333,4.04
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,263573,4.39
Speak For Me,John Mayer,224680,3.74
"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,345626,5.76
Daughters,John Mayer,237906,3.97
I Will Be Found (Lost At Sea),John Mayer,241346,4.02
In Repair,John Mayer,367813,6.13
Paper Doll,John Mayer,257386,4.29
Slow Dancing in a Burning Room,John Mayer,242000,4.03
Wildfire,John Mayer,253493,4.22
Waiting On the World to Change,John Mayer,201173,3.35
"I'm Gonna Find Another You - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,340626,5.68
Swallowed in the Sea,Coldplay,239001,3.98
She Will Be Loved,Maroon 5,257133,4.29
Dive,Ed Sheeran,238440,3.97
The Uruk-hai,Howard Shore,128122,2.14
L.S.D,Skegss,217538,3.63
New York California,Skegss,226248,3.77
L.S.D,Skegss,147931,2.47
The Music Of The Night,Andrew Lloyd Webber,201276,3.35
If I Knew,Bruno Mars,123311,2.06
I Forgot To Remember To Forget - 2004 DSD remaster,Elvis Presley,148240,2.47
American Idiot,Green Day,176346,2.94
The Energy Never Dies,The Script,255106,4.25
Mr Moonlight - Remastered 2009,The Beatles,158626,2.64
That's Amore,Dean Martin,190400,3.17
Homegrown,Zac Brown Band,205000,3.42
Someone New,Hozier,222813,3.71
I've Just Seen A Face - Remastered 2009,The Beatles,125040,2.08
Tangled up in Blue,Bob Dylan,341626,5.69
Moving On and Getting Over,John Mayer,171071,2.85
These Days,The Black Keys,240764,4.01
Not Your Fault,AWOLNATION,242470,4.04
"Hello, Goodbye - Remastered 2009",The Beatles,208840,3.48
One of Us Must Know (Sooner or Later),Bob Dylan,292440,4.87
Welcome to the Black Parade,My Chemical Romance,311106,5.19
Thunder,Imagine Dragons,187761,3.13
Me Gustas Tú,Lucah,202454,3.37
Voy a Ti,Lucah,191469,3.19
Ayúdame,Lucah,221525,3.69
Amor Es Amor,Lucah,200148,3.34
Domingo en la Mañana,Lucah,231574,3.86
Se Te Olvidó,Lucah,203768,3.40
Quiero Ser,Lucah,201704,3.36
Pasaporte,Lucah,170202,2.84
Tuyo Soy,Lucah,208912,3.48
A Escondidas,Lucah,200981,3.35
Afortunado,Lucah,176380,2.94
Pay the Man,Foster The People,233906,3.90
Doing It for the Money,Foster The People,227586,3.79
SHC,Foster The People,253920,4.23
Torches,X Ambassadors,207373,3.46
No Vacancy,OneRepublic,223189,3.72
