track_name,artist_name,ms_played,minutes_played
This Love,Maroon 5,140526,2.34
Mujer de Piedra,Gerardo Ortiz,125025,2.08
Pinball Wizard,The Who,180943,3.02
Peace of Mind,Boston,303586,5.06
The Wind Cries Mary,Jimi Hendrix,200733,3.35
Ships Passing Through The Night,Jimi Hendrix,352120,5.87
"Little Wing - Live 10/12/68 Winterland, San Francisco, CA",Jimi Hendrix,241346,4.02
Hey Joe - Live At Monterey,Jimi Hendrix,311840,5.20
Lullaby For The Summer,Jimi Hendrix,228906,3.82
Earth Blues,Jimi Hendrix,213933,3.57
Sunshine Of Your Love,Jimi Hendrix,405786,6.76
Hear My Train a Comin',Jimi Hendrix,461493,7.69
Easy Blues,Jimi Hendrix,357093,5.95
Valleys of Neptune,Jimi Hendrix,242493,4.04
Can't You Hear Me Knocking - 2009 Mix,The Rolling Stones,436000,7.27
Sway - 2009 Mix,The Rolling Stones,232533,3.88
Brown Sugar,The Rolling Stones,247360,4.12
Honky Tonk Women - Live At The Roundhouse / 1971,The Rolling Stones,254413,4.24
Bitch - 2009 Mix,The Rolling Stones,217093,3.62
Can't You Hear Me Knocking - Alternate Version,The Rolling Stones,204080,3.40
Can't You Hear Me Knocking - 2009 Mix,The Rolling Stones,232756,3.88
(I Can't Get No) Satisfaction - Live At University Of Leeds / 1971,The Rolling Stones,149211,2.49
Rocks Off,The Rolling Stones,272466,4.54
Sweet Black Angel,The Rolling Stones,174440,2.91
Soul Survivor,The Rolling Stones,229440,3.82
Rip This Joint,The Rolling Stones,142756,2.38
Torn And Frayed,The Rolling Stones,256826,4.28
Stop Breaking Down,The Rolling Stones,274133,4.57
I Got The Blues - 2009 Mix,The Rolling Stones,233693,3.89
Moonlight Mile - 2009 Mix,The Rolling Stones,357200,5.95
Before They Make Me Run,The Rolling Stones,205000,3.42
Respectable,The Rolling Stones,186760,3.11
Jumpin' Jack Flash - Live,The Rolling Stones,243133,4.05
Ventilator Blues,The Rolling Stones,204573,3.41
Money,The Rolling Stones,152186,2.54
13 Ghosts II,Nine Inch Nails,193613,3.23
Street Spirit (Fade Out),Radiohead,154255,2.57
Good Vibrations - Remastered 2001,The Beach Boys,178395,2.97
Living In The House Of Blues,Luther Allison,162343,2.71
Sous Le Ciel De Paris,Jacky Terrasson,244866,4.08
I Didn't Know About You,Johnny Hodges & His Orchestra,214240,3.57
